"DeliveryDate","City","Product Name","Total Normal Quantity","Total Coupon Quantity","Total Free Quantity"
"01-01-2020","Hyderabad","Past Milk 1L","2","0","0"
"01-01-2020","Hyderabad","Raw Milk 1L","1","0","0"
"01-01-2021","Hyderabad","Chocolate Milk 300ml","1","0","0"
"01-01-2022","Hyderabad","A2 Value Pack 1L","2","0","0"
"01-01-2023","Hyderabad","Past Milk 1L","23","0","0"
"01-01-2023","Hyderabad","Raw Milk 1L","20","1","1"
"01-01-2023","Hyderabad","Ghee 500ml","1","0","0"
"01-01-2023","Hyderabad","A2 1L","55","2","0"
"01-01-2023","Hyderabad","Curd Culture","2","0","0"
"01-01-2023","Hyderabad","A2 Ghee","1","0","0"
"01-01-2023","Hyderabad","Buffalo Milk 1L","57","0","2"
"01-01-2023","Hyderabad","Paneer 200g Cows Milk","4","0","0"
"01-01-2023","Hyderabad","A2 Value Pack 1L","209","0","2"
"01-01-2023","Hyderabad","Buffalo Ghee 500ml","1","0","0"
"01-01-2023","Hyderabad","Kharwas 120g","6","0","0"
"01-01-2023","Hyderabad","A2 Gir Cow Paneer 200g","1","0","0"
"01-01-2023","Hyderabad","New A2 Value Pack 500ml","89","0","0"
"01-01-2023","Hyderabad","Insulated Door Bag","1","0","0"
"01-01-2023","Hyderabad","Buffalo Milk Value Pack 500ml","44","0","2"
"01-01-2023","Hyderabad","Dahi","8","0","0"
"01-01-2023","Hyderabad","Past Milk Value Pack 1L","9","0","0"
"01-01-2023","Hyderabad","Raw Value Pack 1L","24","0","0"
"01-01-2023","Hyderabad","Buffalo Value Pack 1L","80","0","2"
"01-01-2023","Hyderabad","Lactose Free Milk 0.5L","9","0","0"
"01-01-2023","Hyderabad","Past Milk Value Pack 0.5L","2","0","0"
"01-01-2023","Hyderabad","Raw Milk Value Pack 0.5L","6","0","0"
"01-01-2024","Hyderabad","Past Milk 1L","18","0","0"
"01-01-2024","Hyderabad","Raw Milk 1L","14","0","0"
"01-01-2024","Hyderabad","Ghee 500ml","5","0","0"
"01-01-2024","Hyderabad","A2 1L","72","0","0"
"01-01-2024","Hyderabad","Curd Culture","2","0","0"
"01-01-2024","Hyderabad","A2 Ghee","5","0","0"
"01-01-2024","Hyderabad","Buffalo Milk 1L","35","0","1"
"01-01-2024","Hyderabad","Paneer 200g Cows Milk","9","0","0"
"01-01-2024","Hyderabad","A2 Value Pack 1L","500","3","3"
"01-01-2024","Hyderabad","Buffalo Ghee 500ml","3","0","0"
"01-01-2024","Hyderabad","Kharwas 120g","7","0","0"
"01-01-2024","Hyderabad","A2 Gir Cow Paneer 200g","5","0","0"
"01-01-2024","Hyderabad","New A2 Value Pack 500ml","189","0","1"
"01-01-2024","Hyderabad","Insulated Door Bag","1","0","0"
"01-01-2024","Hyderabad","Buffalo Milk Value Pack 500ml","138","0","2"
"01-01-2024","Hyderabad","Dahi","14","0","0"
"01-01-2024","Hyderabad","Past Milk Value Pack 1L","21","0","2"
"01-01-2024","Hyderabad","Raw Value Pack 1L","57","0","2"
"01-01-2024","Hyderabad","Buffalo Value Pack 1L","315","1","2"
"01-01-2024","Hyderabad","Lactose Free Milk 0.5L","6","0","0"
"01-01-2024","Hyderabad","Past Milk Value Pack 0.5L","13","0","1"
"01-01-2024","Hyderabad","Raw Milk Value Pack 0.5L","24","0","1"
"01-02-2020","Hyderabad","Past Milk 1L","2","0","0"
"01-02-2020","Hyderabad","A2 1L","2","0","0"
"01-02-2020","Hyderabad","A2 Value Pack 1L","1","0","0"
"01-02-2021","Hyderabad","Buffalo Milk 1L","1","0","0"
"01-02-2021","Hyderabad","A2 Value Pack 1L","2","0","0"
"01-02-2022","Hyderabad","Past Milk 1L","2","0","0"
"01-02-2022","Hyderabad","Raw Milk 1L","3","0","0"
"01-02-2022","Hyderabad","Past Milk 0.5L","1","0","0"
"01-02-2022","Hyderabad","A2 1L","8","0","6"
"01-02-2022","Hyderabad","Curd Culture","2","0","0"
"01-02-2022","Hyderabad","A2 Ghee","1","0","0"
"01-02-2022","Hyderabad","Buffalo Milk 1L","1","0","4"
"01-02-2022","Hyderabad","Paneer 200g Cows Milk","1","0","0"
"01-02-2022","Hyderabad","A2 Value Pack 1L","9","0","4"
"01-02-2022","Hyderabad","A2 Gir Cow Paneer 200g","1","0","0"
"01-02-2022","Hyderabad","New A2 Value Pack 500ml","4","0","0"
"01-02-2022","Hyderabad","Buffalo Milk Value Pack 500ml","1","0","4"
"01-02-2022","Hyderabad","Tender Coconut","1","0","0"
"01-02-2023","Hyderabad","Past Milk 1L","22","0","0"
"01-02-2023","Hyderabad","Raw Milk 1L","17","0","0"
"01-02-2023","Hyderabad","A2 1L","76","3","1"
"01-02-2023","Hyderabad","Curd Culture","2","0","0"
"01-02-2023","Hyderabad","A2 Ghee","2","0","0"
"01-02-2023","Hyderabad","Buffalo Milk 1L","60","3","0"
"01-02-2023","Hyderabad","Paneer 200g Cows Milk","2","0","0"
"01-02-2023","Hyderabad","A2 Value Pack 1L","249","2","0"
"01-02-2023","Hyderabad","Kharwas 120g","4","0","0"
"01-02-2023","Hyderabad","A2 Gir Cow Paneer 200g","1","0","0"
"01-02-2023","Hyderabad","New A2 Value Pack 500ml","104","1","2"
"01-02-2023","Hyderabad","Insulated Door Bag","1","0","0"
"01-02-2023","Hyderabad","Buffalo Milk Value Pack 500ml","50","1","1"
"01-02-2023","Hyderabad","Dahi","10","0","0"
"01-02-2023","Hyderabad","Past Milk Value Pack 1L","10","0","1"
"01-02-2023","Hyderabad","Raw Value Pack 1L","39","1","1"
"01-02-2023","Hyderabad","Buffalo Value Pack 1L","115","0","1"
"01-02-2023","Hyderabad","Lactose Free Milk 0.5L","11","0","0"
"01-02-2023","Hyderabad","Past Milk Value Pack 0.5L","5","0","0"
"01-02-2023","Hyderabad","Raw Milk Value Pack 0.5L","14","0","0"
"01-02-2024","Hyderabad","Past Milk 1L","20","0","0"
"01-02-2024","Hyderabad","Raw Milk 1L","12","0","0"
"01-02-2024","Hyderabad","Ghee 500ml","4","0","0"
"01-02-2024","Hyderabad","A2 1L","55","0","5"
"01-02-2024","Hyderabad","A2 Ghee","4","0","0"
"01-02-2024","Hyderabad","Buffalo Milk 1L","48","0","0"
"01-02-2024","Hyderabad","Paneer 200g Cows Milk","14","0","0"
"01-02-2024","Hyderabad","A2 Value Pack 1L","559","1","7"
"01-02-2024","Hyderabad","Buffalo Ghee 500ml","2","0","0"
"01-02-2024","Hyderabad","Kharwas 120g","4","0","0"
"01-02-2024","Hyderabad","A2 Gir Cow Paneer 200g","3","0","0"
"01-02-2024","Hyderabad","New A2 Value Pack 500ml","218","0","0"
"01-02-2024","Hyderabad","Insulated Door Bag","1","0","0"
"01-02-2024","Hyderabad","Buffalo Milk Value Pack 500ml","159","0","0"
"01-02-2024","Hyderabad","Dahi","16","0","0"
"01-02-2024","Hyderabad","Past Milk Value Pack 1L","23","0","0"
"01-02-2024","Hyderabad","Raw Value Pack 1L","60","0","2"
"01-02-2024","Hyderabad","Buffalo Value Pack 1L","319","0","1"
"01-02-2024","Hyderabad","Lactose Free Milk 0.5L","10","0","0"
"01-02-2024","Hyderabad","Past Milk Value Pack 0.5L","25","0","0"
"01-02-2024","Hyderabad","Raw Milk Value Pack 0.5L","25","0","0"
"01-03-2020","Hyderabad","Past Milk 1L","2","0","0"
