"Time Stamp","Current Quantity","Openeing Quantity","Stock","City","Product"
"2024-01-08 23:55:00","329","328","151","Pune","A2 1L"
"2024-01-09 04:55:00","319","319","9995","Pune","A2 1L"
"2024-01-09 23:55:00","325","320","150","Pune","A2 1L"
"2024-01-10 04:55:00","332","332","10000","Pune","A2 1L"
"2024-01-10 23:55:00","344","343","138","Pune","A2 1L"
"2024-01-11 04:55:00","308","308","10000","Pune","A2 1L"
"2024-01-11 23:55:00","311","312","144","Pune","A2 1L"
"2024-01-12 04:55:00","314","314","10001","Pune","A2 1L"
"2024-01-12 23:55:00","320","321","156","Pune","A2 1L"
"2024-01-13 04:55:00","283","283","10000","Pune","A2 1L"
"2024-01-13 23:55:00","286","290","134","Pune","A2 1L"
"2024-01-14 04:55:00","330","330","9998","Pune","A2 1L"
"2024-01-14 23:55:00","333","334","133","Pune","A2 1L"
"2024-01-15 04:55:00","301","301","9999","Pune","A2 1L"
"2024-01-15 23:55:00","306","307","124","Pune","A2 1L"
"2024-01-16 04:55:00","338","338","10001","Pune","A2 1L"
"2024-01-16 23:55:00","352","350","151","Pune","A2 1L"
"2024-01-17 04:55:00","311","311","9999","Pune","A2 1L"
"2024-01-17 23:55:00","318","312","118","Pune","A2 1L"
"2024-01-18 04:55:00","336","336","10000","Pune","A2 1L"
"2024-01-18 23:55:00","339","339","128","Pune","A2 1L"
"2024-01-19 04:55:00","306","306","10001","Pune","A2 1L"
"2024-01-19 23:55:00","304","300","155","Pune","A2 1L"
"2024-01-20 04:55:00","310","310","10000","Pune","A2 1L"
"2024-01-20 23:55:00","307","307","163","Pune","A2 1L"
"2024-01-21 04:55:00","307","307","10000","Pune","A2 1L"
"2024-01-21 23:55:00","311","309","97","Pune","A2 1L"
"2024-01-22 04:55:00","326","326","9999","Pune","A2 1L"
"2024-01-22 23:55:00","328","329","155","Pune","A2 1L"
"2024-01-23 04:55:00","305","305","9999","Pune","A2 1L"
"2024-01-23 23:55:00","318","315","132","Pune","A2 1L"
"2024-01-24 04:55:00","332","332","10000","Pune","A2 1L"
"2024-01-24 23:55:00","346","344","127","Pune","A2 1L"
"2024-01-25 04:55:00","301","301","10000","Pune","A2 1L"
"2024-01-25 23:55:00","293","294","132","Pune","A2 1L"
"2024-01-26 04:55:00","323","323","9999","Pune","A2 1L"
"2024-01-26 23:55:00","312","314","147","Pune","A2 1L"
"2024-01-27 04:55:00","281","281","9999","Pune","A2 1L"
"2024-01-27 23:55:00","297","295","109","Pune","A2 1L"
"2024-01-28 04:55:00","322","322","10000","Pune","A2 1L"
"2024-01-28 23:55:00","330","326","129","Pune","A2 1L"
"2024-01-29 04:55:00","300","300","9999","Pune","A2 1L"
"2024-01-29 23:55:00","304","302","105","Pune","A2 1L"
"2024-01-30 04:55:00","321","321","10002","Pune","A2 1L"
"2024-01-30 23:55:00","331","336","107","Pune","A2 1L"
"2024-01-31 04:55:00","309","309","9999","Pune","A2 1L"
"2024-01-31 23:55:00","333","334","93","Pune","A2 1L"
"2024-02-01 04:55:00","333","333","9998","Pune","A2 1L"
"2024-02-01 23:55:00","333","336","148","Pune","A2 1L"
"2024-02-02 04:55:00","297","297","10000","Pune","A2 1L"
"2024-02-02 23:55:00","307","304","97","Pune","A2 1L"
"2024-02-03 04:55:00","306","306","9999","Pune","A2 1L"
"2024-02-03 23:55:00","323","319","123","Pune","A2 1L"
"2024-02-04 04:55:00","312","312","128","Pune","A2 1L"
"2024-02-04 23:55:00","321","319","119","Pune","A2 1L"
"2024-02-05 04:55:00","312","312","10000","Pune","A2 1L"
"2024-02-05 23:55:00","319","316","128","Pune","A2 1L"
"2024-02-06 04:55:00","302","302","148","Pune","A2 1L"
"2024-02-06 23:55:00","316","314","98","Pune","A2 1L"
"2024-02-07 04:55:00","324","324","9999","Pune","A2 1L"
"2024-02-07 23:55:00","349","341","100","Pune","A2 1L"
"2024-02-08 04:55:00","311","311","10000","Pune","A2 1L"
"2024-02-08 23:55:00","345","337","87","Pune","A2 1L"
"2024-02-09 04:55:00","326","326","10001","Pune","A2 1L"
"2024-02-09 23:55:00","330","328","138","Pune","A2 1L"
"2024-02-10 04:55:00","294","294","10000","Pune","A2 1L"
"2024-02-10 23:55:00","336","334","100","Pune","A2 1L"
"2024-02-11 04:55:00","342","342","10000","Pune","A2 1L"
"2024-02-11 23:55:00","356","363","111","Pune","A2 1L"
"2024-02-12 04:55:00","314","314","10000","Pune","A2 1L"
"2024-02-12 23:55:00","344","342","95","Pune","A2 1L"
"2024-02-13 04:55:00","327","327","10000","Pune","A2 1L"
"2024-02-13 23:55:00","331","328","124","Pune","A2 1L"
"2024-02-14 04:55:00","321","321","10000","Pune","A2 1L"
"2024-02-14 23:55:00","329","327","113","Pune","A2 1L"
"2024-02-15 04:55:00","325","325","9999","Pune","A2 1L"
"2024-02-15 23:55:00","351","348","102","Pune","A2 1L"
"2024-02-16 04:55:00","316","316","10000","Pune","A2 1L"
"2024-02-16 23:55:00","310","310","129","Pune","A2 1L"
"2024-02-17 04:55:00","298","298","10000","Pune","A2 1L"
"2024-02-17 23:55:00","323","327","86","Pune","A2 1L"
"2024-02-18 04:55:00","321","321","10001","Pune","A2 1L"
"2024-02-18 23:55:00","324","325","120","Pune","A2 1L"
"2024-02-19 04:55:00","302","302","10000","Pune","A2 1L"
"2024-02-19 23:55:00","312","312","134","Pune","A2 1L"
"2024-02-20 04:55:00","322","322","10001","Pune","A2 1L"
"2024-02-20 23:55:00","324","322","138","Pune","A2 1L"
"2024-02-21 04:55:00","297","297","9999","Pune","A2 1L"
"2024-02-21 23:55:00","320","315","146","Pune","A2 1L"
"2024-02-22 04:55:00","321","321","10001","Pune","A2 1L"
"2024-02-22 23:55:00","328","323","119","Pune","A2 1L"
"2024-02-23 04:55:00","311","311","10000","Pune","A2 1L"
"2024-02-23 23:55:00","329","333","128","Pune","A2 1L"
"2024-02-24 04:55:00","306","306","9999","Pune","A2 1L"
"2024-02-24 23:55:00","337","334","90","Pune","A2 1L"
"2024-02-25 04:55:00","321","321","10001","Pune","A2 1L"
"2024-02-25 23:55:00","356","350","9","Pune","A2 1L"
"2024-02-26 04:55:00","318","318","10000","Pune","A2 1L"
"2024-02-26 23:55:00","332","329","8","Pune","A2 1L"
"2024-02-27 04:55:00","332","332","10000","Pune","A2 1L"
