Delivery Date,User Status,City,Normal Deliveries,Coupon Deliveries,Free Deliveries
23-11-2022,ACTIVE,Hyderabad,448,0,0
23-11-2022,HOLD,Hyderabad,16,0,0
23-11-2022,INACTIVE,Hyderabad,0,0,2
23-11-2022,INACTIVE,Hyderabad,62,0,0
23-11-2022,NEW,Hyderabad,0,1,0
23-11-2022,NEW,Hyderabad,0,0,23
23-11-2022,NEW,Hyderabad,15,0,0
23-11-2022,ACTIVE,Mumbai,0,0,1
23-11-2022,ACTIVE,Mumbai,9007,0,0
23-11-2022,HOLD,Mumbai,22,0,0
23-11-2022,INACTIVE,Mumbai,0,0,2
23-11-2022,INACTIVE,Mumbai,449,0,0
23-11-2022,NEW,Mumbai,0,5,0
23-11-2022,NEW,Mumbai,0,0,29
23-11-2022,NEW,Mumbai,47,0,0
23-11-2022,ACTIVE,Pune,3364,0,0
23-11-2022,HOLD,Pune,12,0,0
23-11-2022,INACTIVE,Pune,0,1,0
23-11-2022,INACTIVE,Pune,0,0,3
23-11-2022,INACTIVE,Pune,127,0,0
23-11-2022,NEW,Pune,0,1,0
23-11-2022,NEW,Pune,0,0,21
23-11-2022,NEW,Pune,20,0,0
24-11-2022,ACTIVE,Hyderabad,483,0,0
24-11-2022,HOLD,Hyderabad,8,0,0
24-11-2022,INACTIVE,Hyderabad,0,0,2
24-11-2022,INACTIVE,Hyderabad,62,0,0
24-11-2022,NEW,Hyderabad,0,1,0
24-11-2022,NEW,Hyderabad,0,0,27
24-11-2022,NEW,Hyderabad,34,0,0
24-11-2022,ACTIVE,Mumbai,8803,0,0
24-11-2022,HOLD,Mumbai,19,0,0
24-11-2022,INACTIVE,Mumbai,0,0,4
24-11-2022,INACTIVE,Mumbai,501,0,0
24-11-2022,NEW,Mumbai,0,3,0
24-11-2022,NEW,Mumbai,0,0,27
24-11-2022,NEW,Mumbai,39,0,0
24-11-2022,ACTIVE,Pune,3320,0,0
24-11-2022,HOLD,Pune,17,0,0
24-11-2022,INACTIVE,Pune,0,0,2
24-11-2022,INACTIVE,Pune,148,0,0
24-11-2022,NEW,Pune,0,0,9
24-11-2022,NEW,Pune,22,0,0
25-11-2022,ACTIVE,Hyderabad,0,1,0
25-11-2022,ACTIVE,Hyderabad,455,0,0
25-11-2022,HOLD,Hyderabad,12,0,0
25-11-2022,INACTIVE,Hyderabad,68,0,0
25-11-2022,NEW,Hyderabad,0,1,0
25-11-2022,NEW,Hyderabad,0,0,25
25-11-2022,NEW,Hyderabad,17,0,0
25-11-2022,ACTIVE,Mumbai,8877,0,0
25-11-2022,HOLD,Mumbai,26,0,0
25-11-2022,INACTIVE,Mumbai,0,0,5
25-11-2022,INACTIVE,Mumbai,422,0,0
25-11-2022,NEW,Mumbai,0,2,0
25-11-2022,NEW,Mumbai,0,0,36
25-11-2022,NEW,Mumbai,36,0,0
25-11-2022,ACTIVE,Pune,3331,0,0
