"DeliveryDate","City","Product Name","Total Normal Quantity","Total Coupon Quantity","Total Free Quantity"
"01-01-2020","Pune","Past Milk 1L","316","0","2"
"01-01-2020","Pune","Raw Milk 1L","101","0","0"
"01-01-2020","Pune","Past Milk 0.5L","117","0","0"
"01-01-2020","Pune","Ghee 500ml","9","0","0"
"01-01-2020","Pune","Chocolate Milk 0.3L","5","0","0"
"01-01-2020","Pune","Chocolate Milk 300ml","5","0","0"
"01-01-2020","Pune","A2 1L","596","0","1"
"01-01-2020","Pune","Curd Culture","7","0","0"
"01-01-2020","Pune","A2 Ghee","9","0","0"
"01-01-2020","Pune","Buffalo Milk 1L","49","0","1"
"01-01-2020","Pune","Paneer 200g Cows Milk","14","0","0"
"01-01-2020","Pune","A2 Value Pack 1L","303","0","0"
"01-01-2020","Pune","Buffalo Ghee 500ml","3","0","0"
"01-01-2020","Pune","Kharwas 120g","1","0","0"
"01-01-2020","Pune","A2 Gir Cow Paneer 200g","3","0","0"
"01-01-2021","Pune","Past Milk 1L","321","0","0"
"01-01-2021","Pune","Raw Milk 1L","107","0","0"
"01-01-2021","Pune","Past Milk 0.5L","94","0","0"
"01-01-2021","Pune","Ghee 500ml","10","0","0"
"01-01-2021","Pune","Chocolate Milk 300ml","21","0","0"
"01-01-2021","Pune","A2 1L","506","0","4"
"01-01-2021","Pune","Curd Culture","24","0","0"
"01-01-2021","Pune","A2 Ghee","11","0","0"
"01-01-2021","Pune","Buffalo Milk 1L","141","0","0"
"01-01-2021","Pune","Paneer 200g Cows Milk","23","0","0"
"01-01-2021","Pune","A2 Value Pack 1L","825","0","0"
"01-01-2021","Pune","Buffalo Ghee 500ml","1","0","0"
"01-01-2021","Pune","Kharwas 120g","59","0","0"
"01-01-2021","Pune","A2 Gir Cow Paneer 200g","1","0","0"
"01-01-2021","Pune","New A2 Value Pack 500ml","231","0","0"
"01-01-2021","Pune","Insulated Door Bag","3","0","0"
"01-01-2022","Pune","Past Milk 1L","308","0","1"
"01-01-2022","Pune","Raw Milk 1L","158","0","0"
"01-01-2022","Pune","Past Milk 0.5L","105","0","0"
"01-01-2022","Pune","Ghee 500ml","6","0","0"
"01-01-2022","Pune","A2 1L","378","0","0"
"01-01-2022","Pune","Curd Culture","8","0","0"
"01-01-2022","Pune","A2 Ghee","9","0","0"
"01-01-2022","Pune","Buffalo Milk 1L","137","0","0"
"01-01-2022","Pune","Paneer 200g Cows Milk","14","0","0"
"01-01-2022","Pune","A2 Value Pack 1L","845","0","0"
"01-01-2022","Pune","Buffalo Ghee 500ml","1","0","0"
"01-01-2022","Pune","Kharwas 120g","52","0","0"
"01-01-2022","Pune","A2 Gir Cow Paneer 200g","3","0","0"
"01-01-2022","Pune","New A2 Value Pack 500ml","297","0","0"
"01-01-2022","Pune","Buffalo Milk Value Pack 500ml","65","0","0"
"01-01-2022","Pune","Tender Coconut","11","0","0"
"01-01-2022","Pune","Dahi","25","0","0"
"01-01-2023","Pune","Past Milk 1L","202","0","0"
"01-01-2023","Pune","Raw Milk 1L","68","0","0"
"01-01-2023","Pune","Ghee 500ml","5","0","0"
"01-01-2023","Pune","A2 1L","299","0","2"
"01-01-2023","Pune","Curd Culture","11","0","0"
"01-01-2023","Pune","A2 Ghee","9","0","0"
"01-01-2023","Pune","Buffalo Milk 1L","106","0","1"
"01-01-2023","Pune","Paneer 200g Cows Milk","26","0","0"
"01-01-2023","Pune","A2 Value Pack 1L","988","0","5"
"01-01-2023","Pune","Buffalo Ghee 500ml","4","0","0"
"01-01-2023","Pune","Kharwas 120g","61","0","0"
"01-01-2023","Pune","A2 Gir Cow Paneer 200g","9","0","0"
"01-01-2023","Pune","New A2 Value Pack 500ml","421","0","1"
"01-01-2023","Pune","Insulated Door Bag","0","0","1"
"01-01-2023","Pune","Buffalo Milk Value Pack 500ml","81","0","0"
"01-01-2023","Pune","Dahi","41","0","0"
"01-01-2023","Pune","Past Milk Value Pack 1L","60","0","0"
"01-01-2023","Pune","Raw Value Pack 1L","92","0","0"
"01-01-2023","Pune","Buffalo Value Pack 1L","87","0","4"
"01-01-2023","Pune","Lactose Free Milk 0.5L","19","0","0"
"01-01-2023","Pune","Past Milk Value Pack 0.5L","19","0","0"
"01-01-2023","Pune","Raw Milk Value Pack 0.5L","8","0","0"
"01-01-2024","Pune","Past Milk 1L","211","0","0"
"01-01-2024","Pune","Raw Milk 1L","52","0","0"
"01-01-2024","Pune","Ghee 500ml","14","0","0"
"01-01-2024","Pune","A2 1L","303","0","0"
"01-01-2024","Pune","Curd Culture","12","0","0"
"01-01-2024","Pune","A2 Ghee","12","0","0"
"01-01-2024","Pune","Buffalo Milk 1L","65","0","0"
"01-01-2024","Pune","Paneer 200g Cows Milk","28","0","0"
"01-01-2024","Pune","A2 Value Pack 1L","1361","0","2"
"01-01-2024","Pune","Buffalo Ghee 500ml","1","0","0"
"01-01-2024","Pune","Kharwas 120g","22","0","0"
"01-01-2024","Pune","A2 Gir Cow Paneer 200g","13","0","0"
"01-01-2024","Pune","New A2 Value Pack 500ml","632","0","0"
"01-01-2024","Pune","Insulated Door Bag","2","0","0"
"01-01-2024","Pune","Buffalo Milk Value Pack 500ml","122","0","0"
"01-01-2024","Pune","Dahi","59","0","0"
"01-01-2024","Pune","Past Milk Value Pack 1L","92","1","0"
"01-01-2024","Pune","Raw Value Pack 1L","146","0","0"
"01-01-2024","Pune","Buffalo Value Pack 1L","191","0","0"
"01-01-2024","Pune","Lactose Free Milk 0.5L","50","0","0"
"01-01-2024","Pune","Past Milk Value Pack 0.5L","37","0","0"
"01-01-2024","Pune","Raw Milk Value Pack 0.5L","36","0","0"
"01-02-2020","Pune","Past Milk 1L","314","0","0"
"01-02-2020","Pune","Raw Milk 1L","108","0","0"
"01-02-2020","Pune","Past Milk 0.5L","100","0","0"
"01-02-2020","Pune","Ghee 500ml","8","0","0"
"01-02-2020","Pune","Chocolate Milk 0.3L","6","0","0"
"01-02-2020","Pune","Chocolate Milk 300ml","6","0","0"
"01-02-2020","Pune","A2 1L","592","0","8"
"01-02-2020","Pune","Curd Culture","8","0","0"
"01-02-2020","Pune","Buffalo Milk 1L","54","0","0"
"01-02-2020","Pune","Paneer 200g Cows Milk","12","0","0"
"01-02-2020","Pune","A2 Value Pack 1L","377","0","0"
"01-02-2020","Pune","Kharwas 120g","1","0","0"
"01-02-2020","Pune","A2 Gir Cow Paneer 200g","3","0","0"
"01-02-2021","Pune","Past Milk 1L","412","0","0"
"01-02-2021","Pune","Raw Milk 1L","139","0","0"
"01-02-2021","Pune","Past Milk 0.5L","94","0","0"
"01-02-2021","Pune","Ghee 500ml","12","0","0"
"01-02-2021","Pune","Chocolate Milk 300ml","9","0","0"
"01-02-2021","Pune","A2 1L","554","0","1"
"01-02-2021","Pune","Curd Culture","42","0","0"
"01-02-2021","Pune","A2 Ghee","9","0","0"
"01-02-2021","Pune","Buffalo Milk 1L","158","0","0"
"01-02-2021","Pune","Paneer 200g Cows Milk","1","0","0"
"01-02-2021","Pune","A2 Value Pack 1L","990","0","0"
"01-02-2021","Pune","Kharwas 120g","12","0","0"
"01-02-2021","Pune","A2 Gir Cow Paneer 200g","12","0","0"
"01-02-2021","Pune","New A2 Value Pack 500ml","265","0","0"
"01-02-2021","Pune","Insulated Door Bag","6","0","0"
"01-02-2022","Pune","Past Milk 1L","336","0","0"
"01-02-2022","Pune","Raw Milk 1L","153","0","1"
"01-02-2022","Pune","Past Milk 0.5L","106","0","0"
"01-02-2022","Pune","Ghee 500ml","11","0","0"
"01-02-2022","Pune","A2 1L","408","0","5"
"01-02-2022","Pune","Curd Culture","23","0","0"
"01-02-2022","Pune","A2 Ghee","9","0","0"
"01-02-2022","Pune","Buffalo Milk 1L","148","0","0"
"01-02-2022","Pune","Paneer 200g Cows Milk","35","0","0"
"01-02-2022","Pune","A2 Value Pack 1L","964","0","0"
"01-02-2022","Pune","Buffalo Ghee 500ml","1","0","0"
"01-02-2022","Pune","A2 Gir Cow Paneer 200g","5","0","0"
"01-02-2022","Pune","New A2 Value Pack 500ml","340","0","0"
"01-02-2022","Pune","Buffalo Milk Value Pack 500ml","69","0","0"
"01-02-2022","Pune","Tender Coconut","16","0","0"
"01-02-2022","Pune","Dahi","47","0","0"
"01-02-2023","Pune","Past Milk 1L","252","0","0"
"01-02-2023","Pune","Raw Milk 1L","70","0","0"
"01-02-2023","Pune","Ghee 500ml","16","0","0"
"01-02-2023","Pune","A2 1L","348","0","4"
"01-02-2023","Pune","Curd Culture","14","0","0"
"01-02-2023","Pune","A2 Ghee","24","0","0"
"01-02-2023","Pune","Buffalo Milk 1L","104","0","1"
"01-02-2023","Pune","Paneer 200g Cows Milk","42","0","0"
"01-02-2023","Pune","A2 Value Pack 1L","1162","3","2"
